epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.443,0.61395,2.8388,1.13211,0.81611,0.70584,0.7873,0.7444,0.31161,1.7055,0.91055,0.000206767,0.000206767,0.000206767
2,312.231,0.46936,1.22261,1.03281,0.99425,0.98746,0.99226,0.95233,0.28978,0.73466,0.88001,0.000406881,0.000406881,0.000406881
3,463.74,0.42241,0.85517,0.98941,0.9951,0.99421,0.99427,0.96343,0.26826,0.61279,0.84528,0.000598746,0.000598746,0.000598746
4,615.38,0.38845,0.75544,0.95727,0.9968,0.99502,0.99422,0.97637,0.22393,0.51743,0.80786,0.000587875,0.000587875,0.000587875
5,758.579,0.36048,0.66646,0.93903,0.99722,0.99631,0.99498,0.9817,0.19612,0.41676,0.79542,0.0005755,0.0005755,0.0005755
6,899.503,0.33486,0.58907,0.92165,0.9984,0.99603,0.99481,0.98351,0.1667,0.3398,0.7894,0.000563125,0.000563125,0.000563125
7,1040.1,0.30901,0.53115,0.91164,0.99783,0.9957,0.99499,0.98546,0.1736,0.3234,0.7865,0.00055075,0.00055075,0.00055075
8,1180.38,0.30704,0.50187,0.91108,0.99753,0.99767,0.99499,0.98324,0.19031,0.30457,0.79014,0.000538375,0.000538375,0.000538375
9,1347.78,0.30459,0.47651,0.90714,0.99798,0.99796,0.99499,0.98822,0.16574,0.269,0.78258,0.000526,0.000526,0.000526
10,1502.73,0.28568,0.45268,0.89936,0.99729,0.99902,0.99499,0.98906,0.14763,0.24154,0.77922,0.000513625,0.000513625,0.000513625
11,1657.22,0.27868,0.42716,0.89703,0.99637,0.99917,0.995,0.98894,0.14473,0.21797,0.77671,0.00050125,0.00050125,0.00050125
12,1805.65,0.27703,0.41397,0.8927,0.99729,0.99852,0.99498,0.98695,0.14606,0.21361,0.7817,0.000488875,0.000488875,0.000488875
13,1955.18,0.26782,0.39345,0.89279,0.99826,0.99566,0.99499,0.98538,0.17777,0.20787,0.79279,0.0004765,0.0004765,0.0004765
14,2104.21,0.25653,0.37715,0.889,0.99723,0.99906,0.995,0.99065,0.12728,0.18485,0.77241,0.000464125,0.000464125,0.000464125
15,2253.7,0.25407,0.37081,0.88446,0.99818,0.99763,0.995,0.9899,0.12997,0.18262,0.77481,0.00045175,0.00045175,0.00045175
16,2403.42,0.24585,0.3541,0.88462,0.99872,0.99719,0.995,0.9895,0.12639,0.16586,0.77523,0.000439375,0.000439375,0.000439375
17,2553.48,0.24667,0.34844,0.88143,0.99889,0.99913,0.995,0.98962,0.1389,0.17682,0.77627,0.000427,0.000427,0.000427
18,2704.26,0.24473,0.34141,0.88327,0.9982,0.99757,0.995,0.99207,0.12397,0.16292,0.77028,0.000414625,0.000414625,0.000414625
19,2855.37,0.23816,0.33021,0.8802,0.99873,0.99683,0.99496,0.99025,0.13466,0.16395,0.77418,0.00040225,0.00040225,0.00040225
20,3006.88,0.23175,0.32002,0.8762,0.99809,0.99886,0.995,0.9919,0.12036,0.14595,0.76892,0.000389875,0.000389875,0.000389875
21,3158.4,0.23344,0.32012,0.87985,0.99865,0.99768,0.99498,0.99234,0.10133,0.13752,0.76493,0.0003775,0.0003775,0.0003775
22,3310.46,0.23523,0.30609,0.88065,0.99875,0.99718,0.995,0.99198,0.11684,0.13243,0.76899,0.000365125,0.000365125,0.000365125
23,3461.7,0.22341,0.30345,0.87612,0.99865,0.99793,0.995,0.99211,0.10722,0.12726,0.76818,0.00035275,0.00035275,0.00035275
24,3613.57,0.21538,0.29597,0.87175,0.99864,0.99804,0.995,0.99264,0.10288,0.12312,0.76651,0.000340375,0.000340375,0.000340375
25,3780.69,0.21113,0.29765,0.87347,0.99863,0.99765,0.995,0.99218,0.11306,0.12501,0.76869,0.000328,0.000328,0.000328
26,3951.05,0.20926,0.28884,0.871,0.99868,0.99743,0.99499,0.99216,0.09744,0.11961,0.76643,0.000315625,0.000315625,0.000315625
27,4121.74,0.20864,0.28511,0.86721,0.99742,0.99788,0.995,0.99247,0.09881,0.1148,0.76643,0.00030325,0.00030325,0.00030325
28,4292.62,0.20697,0.2868,0.86733,0.99851,0.99747,0.99497,0.99352,0.09734,0.11375,0.7637,0.000290875,0.000290875,0.000290875
29,4453.68,0.20209,0.27315,0.8674,0.99905,0.99793,0.995,0.99329,0.09293,0.11408,0.76272,0.0002785,0.0002785,0.0002785
30,4617.44,0.19498,0.26458,0.86504,0.9986,0.99781,0.99499,0.99331,0.09728,0.11227,0.76334,0.000266125,0.000266125,0.000266125
31,4778,0.19259,0.26428,0.86281,0.99862,0.99909,0.995,0.99364,0.09512,0.10664,0.76233,0.00025375,0.00025375,0.00025375
32,4944,0.19675,0.27252,0.86658,0.99862,0.99915,0.995,0.99377,0.0918,0.10452,0.76249,0.000241375,0.000241375,0.000241375
33,5109,0.19247,0.26212,0.86366,0.99816,0.99941,0.995,0.9935,0.09292,0.09931,0.76306,0.000229,0.000229,0.000229
34,5276.95,0.18535,0.2509,0.86088,0.99801,0.9995,0.995,0.9936,0.09235,0.10273,0.76275,0.000216625,0.000216625,0.000216625
35,5442.3,0.18436,0.24371,0.85973,0.99823,0.99906,0.995,0.99385,0.0816,0.09527,0.75991,0.00020425,0.00020425,0.00020425
36,5606.79,0.18484,0.24945,0.85808,0.99851,0.99835,0.995,0.99382,0.08691,0.1008,0.76214,0.000191875,0.000191875,0.000191875
37,5761.75,0.17996,0.24522,0.85971,0.99743,0.99917,0.995,0.99398,0.08095,0.09128,0.76099,0.0001795,0.0001795,0.0001795
